,Title,Price,Image,Rate,Total_Rate
31,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon - 1 year Warranty","18,599",https://m.media-amazon.com/images/I/71Azxw1VWeL._AC_UL320_.jpg,4.4 out of 5 stars,"18,599"
32,50 Inch 4K UHD Smart LED TV - Black - UA50DU7000UXEG [2024 Model],"16,999",https://m.media-amazon.com/images/I/61aLpgXQTVL._AC_UL320_.jpg,4.4 out of 5 stars,"16,999"
33,Galaxy A15 Dual SIM 8GB Ram+256GGB ROM (6.5 Inches) (4G LTE) - (Yellow),"8,015",https://m.media-amazon.com/images/I/51QkPENTlTL._AC_UL320_.jpg,3.9 out of 5 stars,"8,015"
34,"A13 Dual SIM, 128GB ROM, 4GB RAM - Blue","7,000",https://m.media-amazon.com/images/I/61d5nEVYi+L._AC_UL320_.jpg,4.4 out of 5 stars,"7,000"
35,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 4GB RAM, 128GB Storage, Black","5,599",https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_UL320_.jpg,4.0 out of 5 stars,"5,599"
36,A25 8-256 Blue Black,"11,100",https://m.media-amazon.com/images/I/61n8R-QRkUL._AC_UL320_.jpg,3.8 out of 5 stars,"11,100"
37,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Light Violet","6,199",https://m.media-amazon.com/images/I/61TEyjMZbNL._AC_UL320_.jpg,4.0 out of 5 stars,"6,199"
38,Galaxy A15 Dual SIM 4GB Ram+128GB ROM (6.5 Inches) (4G LTE) - Blue Black,"6,099",https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_UL320_.jpg,3.9 out of 5 stars,"6,099"
39,Galaxy A15 Dual SIM 4GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Light Blue),"6,149",https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg,3.9 out of 5 stars,"6,149"
40,Galaxy A34 Dual SIM 8GB Ram+128GB ROM (6.5 Inches) (4G) - (Awesome Graphite),"11,999",https://m.media-amazon.com/images/I/71RqyKk2eBL._AC_UL320_.jpg,4.3 out of 5 stars,"11,999"
41,Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Yellow),"6,750",https://m.media-amazon.com/images/I/61hdrs3-MuL._AC_UL320_.jpg,3.9 out of 5 stars,"6,750"
42,"Galaxy A34 5G (Awesome Lime, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately","13,995",https://m.media-amazon.com/images/I/712f4xV-Z3L._AC_UL320_.jpg,4.2 out of 5 stars,"13,995"
43,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lilac - 1 year Warranty","18,599",https://m.media-amazon.com/images/I/71HHuzT9m2L._AC_UL320_.jpg,4.4 out of 5 stars,"18,599"
44,"Galaxy S23 FE 5G Dual SIM Android Smartphone, 8GB RAM, 256GB ROM - Graphite","33,999",https://m.media-amazon.com/images/I/61-E0V81kBL._AC_UL320_.jpg,4.0 out of 5 stars,"33,999"
45,50 Inch TV Crystal Processor 4K LED with Built-in Receiver - Black - UA50CU8000UXEG [2023 Model],"19,300",https://m.media-amazon.com/images/I/61tIUqwUlCL._AC_UL320_.jpg,4.0 out of 5 stars,"19,300"
46,55 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA55Q60DAUXEG [2024 Model],"22,999",https://m.media-amazon.com/images/I/61lS0qrz1OL._AC_UL320_.jpg,3.5 out of 5 stars,"22,999"
47,55 Inch 4K UHD Smart LED TV - Black - UA55DU7000UXEG [2024 Model],"18,999",https://m.media-amazon.com/images/I/61aLpgXQTVL._AC_UL320_.jpg,4.4 out of 5 stars,"18,999"
